"ComputerName","UserName","Date","Color"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:16:36","Blue"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:17:06","Green"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:23:20","Red"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:31:06","Orange"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:31:21","Orange"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:31:56","Orange"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:32:44","Orange"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:33:16","Blue"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:33:26","Red"
"LENOVA-11","Erik.Arnesen","04/19/2020 04:52:18",""
"LENOVA-11","Erik.Arnesen","04/19/2020 04:53:06",""
"LENOVA-11","Erik.Arnesen","04/19/2020 04:56:43",""
